Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Thailand,THA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.28023479514871,2.39873161764822,5.13275009732257,6.19493623168337,5.34116205951062,3.29537578511341,4.10011779691514,4.5949892120282,0.947280170156503,-1.42135866699509,6.79479928649167,0.215045559628464,6.58038336266074,2.08615316028128,0.45053655380589,2.65971785318402,2.96944155296718,3.73797800283087,3.90762624173355,1.90583495758329,-6.20637326420599,1.43062175645008,2.56894316437668,2.06455231923211
Thailand,THA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,36.6694083813627,36.3210034946673,36.8944314471526,37.9181748920386,37.9023024950671,38.5052107116361,39.146855883906,39.4313718771557,39.4796129651304,38.6085988884387,39.9217256985357,37.9813982711097,37.343694137461,36.8985884648101,36.7630403655124,36.1791773262667,35.586765405076,35.018759526322,34.7424896675041,33.5939105133265,33.2907229678575,35.0317119667993,35.1217577031461,32.9804093286492
Indonesia,IDN,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,51.67,49.986,48.048,47.846,47.236,46.082,46.008,49.839,50.387,50.3,50.973,50.989,51.49,50.714,50.64,50.772,50.949,51.943,53.131,53.949,53.203,52.069,52.562,53.487
Indonesia,IDN,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,84.135,84.568,84.198,83.771,84.377,82.96,82.633,82.805,82.532,81.952,82.337,82.974,83.469,82.919,82.719,82.488,81.772,81.529,82.251,82.6,81.673,79.741,81.549,82.382
Indonesia,IDN,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,13.9490804672241,12.2964897155762,13.718469619751,14.1100702285767,14.4632501602173,..,16.2031497955322,17.7361507415771,19.9365501403809,22.5412197113037,22.4019892604013,23.6617768904453,30.2814797483833,32.0561594083682,32.1127656778979,34.5220912776747,37.2604595362436,38.5952407318475,38.8659567828988,39.5239845592779,40.8939254732285,44.0458339836419,46.6107282434441,49.8897505872353
Indonesia,IDN,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,15.6476097106934,15.8927698135376,15.6141195297241,17.3745098114014,17.8238506317139,..,17.3072395324707,17.4241199493408,21.0785808563232,22.8383102416992,24.3812912235057,26.3263558953544,27.8649952992931,27.8404698064134,27.9738756598721,30.4981659300184,32.5202001733187,33.4663266882317,33.5640873664656,35.2283379088062,35.5680901166469,37.3788928461553,38.2511438594208,40.1195230358183
Indonesia,IDN,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,71.7996590846655,69.7675499080651,69.7331344660393,71.0592314898645,70.1970389117688,66.4922644227352,65.9555786983109,67.2159119496263,66.4827088095547,66.0731858867296,64.7904598911398,62.6462104315459,60.2809213465718,59.7744378000599,59.7269812506535,57.8559088277519,57.5331028504608,57.8010492124261,58.4650355443516,58.3628061244486,59.3853555594798,58.8732198859135,59.2340057573253,59.387017673277
Indonesia,IDN,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,27.1376025610064,29.2815779076037,29.3168438913662,28.0285481831005,28.8328314750838,32.4435927892242,33.0275091398335,31.5596779438818,32.2509840331678,32.7283895411525,33.9622913772744,35.8216707022264,38.0459856705705,38.5502433596324,38.5559774072616,40.4285390648648,40.7890081687242,40.5473794642422,39.7411242366004,39.8584401719043,38.9338992171531,39.4301676065629,39.0185850174309,38.7839352450078
Indonesia,IDN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,8,8,8,8,11.2727272727273,11.2727272727273,11.2727272727273,11.6363636363636,11.6363636363636,17.8571428571429,18.0357142857143,18.2142857142857,18.5714285714286,18.5714285714286,16.9369369369369,17.1171171171171,17.1171171171171,19.8214285714286,19.8214285714286,17.3913043478261,20.3478260869565,21.0434782608696,21.9130434782609,21.5652173913044
Indonesia,IDN,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..,..,..,..,..,..,..,15.815,16.442,18.063,19.429,..,..,..,..,..,..,..,..,..,..,..,..,24.823
