Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Lao PDR,LAO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.820009114765,28.8274106843826,28.8952739905149,28.9554957475365,28.9399726698219,28.7806014717458,28.4053138984033,27.7775269837477,26.8823653754409,25.7049537211446,24.2304166685204,20.5789011650413,22.4365696992954,24.2423626108046,21.3928997917018,20.1670988613747,22.463787282601,19.1515982168711,20.9840690040935,22.4289603771825,22.3176670505669,..,..,..,..,..
Lao PDR,LAO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,107.5,103.4,99.1,94.9,90.8,86.8,82.7,78.8,75,71.4,68,64.7,61.5,58.6,55.8,53.2,50.9,48.8,46.8,45.1,43.4,41.9,40.4,39,..,..
Lao PDR,LAO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.317,58.887,59.302,59.643,60.08,60.688,61.074,61.694,62.248,63.023,63.69,64.505,65.126,65.723,66.35,66.688,67.014,67.345,67.594,67.911,68.339,67.807,68.715,68.964,..,..
Myanmar,MMR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,9.69226113586128,10.5804943321805,13.0068954922166,14.2582573952557,16.3663619555986,17.512204636055,19.2372930203744,20.4091296662276,22.6658154224732,24.5320050982062,26.4680642743774,31.2916488307023,32.3730207966326,32.3622196006021,34.4897147952325,34.4688212621502,34.8095048832944,36.8009211203558,36.9634615021809,38.4126110918443,37.5439155484288,37.3108899934826,38.2471357653023,37.5929250362669,37.8123706470066,..
Myanmar,MMR,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,0.742564011961484,0.582752438288569,0.5243341282081,0.570646218673394,0.487477737777533,0.453908463183615,0.373331905245829,0.348285245203955,0.241759585009461,0.203736121019916,0.205962242902328,0.207259711863351,0.264365840842183,0.276108460913644,0.318467599730594,0.331177610401935,0.364183234125207,0.503987059126943,0.470951908857403,0.453381058874837,0.503232769870121,0.52450125561892,0.491372375409521,0.490001300728719,0.496740225535054,..
Myanmar,MMR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.221722533260091,0.191710326457028,0.191306347918213,0.234820213738165,0.225863126405762,0.236985402005318,0.218804446194408,0.226987849132935,0.172766335943286,0.160062197522633,0.176083810704641,0.185603670753961,0.251973184982232,0.28292574578925,0.350073559191087,0.386395865290602,0.446262538135226,0.650427600472324,0.641233195886911,0.653317518704581,0.654863780011824,0.596355651595398,0.577248041256632,0.577107115225871,0.575463259318228,..
Myanmar,MMR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,39.5272329221873,39.7428390610683,40.1768875885917,40.6510344092112,40.9869354273807,41.0062465475539,40.5461049761885,39.5962241482972,38.2071243111665,36.4293257120831,34.3133485983332,29.4854398392347,33.179223857355,35.1664986630794,31.2218892689358,29.9150539220144,31.1703866445543,28.1336717956987,31.5559916967562,32.1642279603857,32.3150340028667,..,..,..,..,..
Myanmar,MMR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,89.5,87.1,84.7,82.2,79.7,77.1,74.4,71.6,101.1,66,63.2,60.5,58,55.6,53.4,51.3,49.5,47.7,46,44.4,42.9,41.4,40,38.7,..,..
Myanmar,MMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.357,60.64,60.925,61.196,61.443,61.72,62.026,62.367,56.364,63.095,63.479,63.859,64.251,64.617,64.994,65.288,65.64,65.909,66.232,66.457,66.612,65.553,66.506,66.889,..,..
Brunei Darussalam,BRN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,66.2665822504809,62.7475892350944,63.0811813132522,66.4844984729556,70.1910452305488,73.153005169136,74.9262615378504,73.3951062711011,76.4320816379343,67.2954813573315,68.6533507031802,73.6724144504971,72.655614353873,70.022444095261,67.8496307805484,61.3627773605269,57.2893638536308,59.7205889692852,63.2448184042319,62.5153210994416,59.1336302400797,62.7015642235623,67.9255854192344,61.7411860091314,61.6755225796828,..
Brunei Darussalam,BRN,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,0.496143707630996,0.47183016185449,0.430337088898051,0.482333106606436,0.468112776745709,0.448716538131711,0.618004728127966,0.610040817008983,0.690911355330798,0.634172039822732,0.567891798732624,0.583126550316165,0.560296625145853,0.584987233067543,0.624501534288246,0.569615692043193,0.626444562366702,0.616054267454801,0.628145623757418,0.572607218783837,0.754166645039101,0.755635424199139,0.733598354899734,0.738082669330646,0.684709166978297,..
Brunei Darussalam,BRN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,18.6101512143715,17.5847845325414,16.3425943622298,18.6157276920813,17.7642521768945,16.7426361599929,23.6259231125724,22.0679316100121,23.5785205125558,20.8361042415678,18.8093247555642,19.6830658831365,18.7948919633985,18.9425148710366,19.4524295140972,17.4445539207791,18.4753627527107,18.188792250885,18.3419748292638,17.1760639739767,22.6370349840413,22.1070085296012,20.9436282583394,21.14308997296,20.2426516194424,..
Brunei Darussalam,BRN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,7.15237071655279,7.14419998443377,7.16359869799834,7.18894518991816,7.19861779286489,7.17099483951018,7.04449810766191,6.82039311579094,6.57132380756337,6.36993412664528,6.28886801670278,7.22534325195967,7.64174071359111,7.81045226819353,8.03840256929202,7.76801290951484,7.70809372713425,7.23064895379441,7.49485587718805,7.94585811311948,7.59726503432135,..,..,..,..,..
Brunei Darussalam,BRN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,10.3,10,9.8,9.6,9.5,9.5,9.5,9.5,9.6,9.6,9.7,9.8,9.9,9.9,10,10,10,10,9.9,9.8,9.7,9.6,9.5,9.4,..,..
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.017,74.209,74.365,74.509,74.603,74.683,74.753,74.793,74.814,74.814,74.82,74.835,74.843,74.854,74.862,74.88,74.905,74.943,74.992,75.049,75.114,74.869,72.917,75.327,..,..
Indonesia,IDN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,41.9690746433564,47.8935007853871,47.7453311592597,43.7495660917608,44.6276159754602,46.5410588710711,46.9435587410796,46.7991415207073,48.0607447690172,47.6521225811621,42.7758663362749,43.9134234267133,43.5937444233376,42.6356774375889,41.9283421270033,40.0478624042506,39.3084439802081,39.3791548040237,39.7297374523848,38.9517679950779,38.2383937187942,39.8448191919686,41.4292641760979,40.2156823106794,39.3184857249869,..
Indonesia,IDN,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,0.757116012499023,0.780553168160143,0.759512552721027,0.788848910786188,0.764929365175302,0.728645168906147,0.730313937255441,0.719649681897247,0.671160117899128,0.664225193299245,0.674457436041295,0.715807735703383,0.680933877843231,0.607612093710242,0.615325247017506,0.595219586016454,0.560834778970066,0.56393175365479,0.596959550747945,0.607596330824437,0.580236759675006,0.584293391125397,0.64396323718438,0.655306494132686,0.655936324200486,..
Indonesia,IDN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.38408579613851,1.45853518944239,1.46310550665851,1.57132250644049,1.58011931285841,1.57055662745946,1.63888306289882,1.69488500402322,1.6541425247205,1.69126327047376,1.80134962735397,2.00399300866727,1.9954892890649,1.85640226795234,1.95102470107868,1.95721455259026,1.91626591013332,2.00394276108737,2.20953925241911,2.33979466524606,2.16976580881181,2.24993200107532,2.5918955237502,2.74747187282401,2.86503978188758,..
Indonesia,IDN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,26.2052017856205,25.8543760470568,25.5291686460049,25.1975719602112,24.8275783674222,24.3871802453844,23.8860554289587,23.3156711321389,22.6167038013704,21.7298298830988,20.5957258237696,17.9185723142468,19.553351601333,20.1029935644832,18.5354648917633,18.6712786457665,19.1310042759597,16.9555634840925,18.4371895829409,19.4270918962783,17.8814994983985,..,..,..,..,..
Indonesia,IDN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,51.9,49.6,47.3,45.2,49.1,41.4,39.6,38,36.4,35,33.6,32.2,31,29.7,28.6,27.4,26.4,25.4,24.5,23.6,22.8,22,21.3,20.6,..,..
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.292,66.583,66.954,67.134,65.521,67.531,67.664,67.914,68.085,68.267,68.364,68.629,68.862,69.064,69.292,69.52,69.733,69.953,70.08,70.349,68.817,67.452,70.925,71.146,..,..
Singapore,SGP,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,32.4585044954973,30.3796610759446,30.7456754181249,30.2248029160952,31.8858938554669,31.4076522049802,30.8942965496098,28.2257709638809,26.4153381596662,27.0163193688262,26.6358717243037,25.2595925808817,25.0222021555412,23.4427286283197,24.1685192477514,24.2880229055028,23.2029524941107,23.4966352857041,25.3804206689349,24.07072940872,23.24167197361,24.6140715989737,23.84052179209,22.1459950271664,21.3773151202135,..
Singapore,SGP,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,0.323904004439241,0.330195879479773,0.312958681737908,0.280975548842558,0.268099067367566,0.23404900608686,0.215934537521149,0.204620605511122,0.198825815538535,0.202482510515656,0.197517909909669,0.195283356093203,0.182672456378213,0.182874999507119,0.180086877826156,0.179139157789659,0.165776518860129,0.170401934379144,0.156966627569765,0.159729761406333,0.160089744714172,0.150842945567658,0.146525984078199,0.143278158768264,0.144024511421476,..
Singapore,SGP,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,11.3010369953278,11.0938779297885,10.8280032088507,10.314555220561,10.6855268387372,9.78289459186893,9.5355418148688,9.44913687162465,8.86794550394306,8.77394676729544,9.62940332481604,9.90350885315629,9.44039430491129,9.74704963473961,9.84749870377372,9.9683071478565,9.44707088976961,10.1364104576184,9.61426051080076,9.79870673958709,9.4756645802434,10.2167829269876,9.99582758413928,9.48033745839563,9.75144363129176,..
Singapore,SGP,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.7999719213474,19.3142628589039,18.5842525658608,17.7392806593529,16.908686756515,16.221810474482,15.6032041493169,14.9552764832534,14.3741516426824,13.9559537939949,13.796807103582,15.5030932335334,16.9223599271481,18.076662563077,17.2816885850335,17.1833032960407,15.900294890346,16.0768840541767,15.9768571619193,17.0759063187283,13.8691955865476,..,..,..,..,..
Singapore,SGP,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,3.8,3.6,3.4,3.2,3.1,3,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.5,2.4,2.3,2.2,2.2,2.1,..,..
Singapore,SGP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.9512195121951,78.2512195121951,78.5512195121951,79.0390243902439,79.490243902439,79.990243902439,80.1414634146341,80.4414634146342,80.790243902439,81.2414634146342,81.5414634146342,81.7439024390244,81.9951219512195,82.2463414634147,82.4951219512195,82.7439024390244,82.8463414634146,83.0951219512195,83.2975609756098,83.5951219512195,83.5439024390244,83.0926829268293,82.8951219512195,82.8951219512195,..,..
